Sl.No,Meter No,RFID,X Coordinate,Y Coordinate,METER_ADDRESS,Pipe size
410,PMC1518019033,10130332611,18.588988399999998,73.8629609,1013-033-2611,15
411,PMC1518019035,10130332613,18.58945,73.86318299999999,1013-033-2613,15
412,PMC1518019068,10130332646,18.589349,73.863004,1013-033-2646,15
413,PMC1518019070,10130332648,18.589685,73.86309399999999,1013-033-2648,15
414,PMC1518019071,10130332649,18.588148,73.862891,1013-033-2649,15
415,PMC1518019072,10130332650,18.588148,73.862891,1013-033-2650,15
416,PMC1518019076,10130332654,18.588157,73.862709,1013-033-2654,15
417,PMC1518019411,10130332989,18.588767999999998,73.862875,1013-033-2989,15
418,PMC1518019412,10130332990,18.589489999999998,73.86300899999999,1013-033-2990,15
419,PMC1518019413,10130332991,18.589625,73.86317700000001,1013-033-2991,15
420,PMC1518019414,10130332992,18.588008,73.862903,1013-033-2992,15
421,PMC1518019415,10130332993,18.588472,73.86291700000001,1013-033-2993,15
422,PMC1518019416,10130332994,18.588141,73.8635,1013-033-2994,15
423,PMC1518019417,10130332995,18.589456,73.863179,1013-033-2995,15
424,PMC1518019418,10130332996,18.589685,73.86309399999999,1013-033-2996,15
425,PMC1518019419,10130332997,18.589471,73.862995,1013-033-2997,15
426,PMC1518019472,10130333050,18.590083,73.86197,1013-033-3050,15
427,PMC1519033751,10110694064,18.590087,73.86320500000001,1011-069-4064,15
428,PMC1518019575,10130333153,18.588015,73.86296899999999,1013-033-3153,15
429,PMC2018008861,10130362118,18.588015,73.86296899999999,1013-036-2118,20
430,PMC2018008862,10130362119,18.588148,73.862891,1013-036-2119,20
431,PMC2018008863,10130362120,18.588148,73.862891,1013-036-2120,20
432,PMC2018008864,10130362121,18.588062,73.863412,1013-036-2121,20
433,PMC2018008865,10130362122,18.588062,73.863412,1013-036-2122,20
434,PMC2018008866,10130362123,18.588157,73.862709,1013-036-2123,20
435,PMC2018008957,10130362214,18.588988399999998,73.8629609,1013-036-2214,20
436,PMC2018008982,10130362239,18.588472,73.86291700000001,1013-036-2239,20
437,PMC2018008983,10130362240,18.589349,73.863004,1013-036-2240,20
438,PMC2018008984,10130362241,18.589685,73.86309399999999,1013-036-2241,20
439,PMC2018008986,10130362243,18.589685,73.86309399999999,1013-036-2243,20
440,PMC2018008987,10130362244,18.588472,73.86291700000001,1013-036-2244,20
441,PMC1518019979,10130333557,18.588033,73.86295799999999,1013-033-3557,15
442,PMC1518019980,10130333558,18.588026,73.863029,1013-033-3558,15
443,PMC1518019631,10130333209,18.587567,73.860929,1013-033-3209,15
444,PMC1518019632,10130333210,18.587567,73.860929,1013-033-3210,15
445,PMC1518019641,10130333219,18.587213000000002,73.86105,1013-033-3219,15
446,PMC1518019642,10130333220,18.586837,73.86116899999999,1013-033-3220,15
447,PMC1518019643,10130333221,18.586837,73.86116899999999,1013-033-3221,15
448,PMC1518019424,10130333002,18.591094000000002,73.864048,1013-033-3002,15
449,PMC1518019425,10130333003,18.5910295,73.86408270000001,1013-033-3003,15
450,PMC1518019429,10130333007,18.590911600000002,73.8640864,1013-033-3007,15
451,PMC1518019430,10130333008,18.590863,73.864375,1013-033-3008,15
452,PMC1518019431,10130333009,18.5911388,73.8641534,1013-033-3009,15
453,PMC1518019123,10130332701,18.587286,73.860567,1013-033-2701,15
454,PMC2018008867,10130362124,18.587419,73.86065500000001,1013-036-2124,20
455,PMC2018008869,10130362126,18.587447,73.86055,1013-036-2126,20
456,PMC2018008870,10130362127,18.587419,73.86065500000001,1013-036-2127,20
457,PMC1518018941,10130332519,18.587772199999996,73.86372390000001,1013-033-2519,15
458,PMC1518018943,10130332521,18.5862583,73.86244079999999,1013-033-2521,15
459,PMC1519033755,10110694068,18.5866914,73.86224440000001,1011-069-4068,15
460,PMC1518018948,10130332526,18.586261999999998,73.862369,1013-033-2526,15
461,PMC1518018949,10130332527,18.586316399999998,73.8623577,1013-033-2527,15
462,PMC1518018950,10130332528,18.586316399999998,73.8623577,1013-033-2528,15
463,PMC1518018981,10130332559,18.5870648,73.8623245,1013-033-2559,15
464,PMC1518018982,10130332560,18.587004399999998,73.8623386,1013-033-2560,15
465,PMC1519033739,10110694052,18.588909,73.863062,1011-069-4052,15
466,PMC1518019475,10130333053,18.589585,73.863013,1013-033-3053,15
467,PMC1518019565,10130333143,18.589764000000002,73.863349,1013-033-3143,15
468,PMC1518019574,10130333152,18.588054999999997,73.862789,1013-033-3152,15
469,PMC1518018983,10130332561,18.586998100000002,73.8623309,1013-033-2561,15
470,PMC1518018986,10130332564,18.5860444,73.8623527,1013-033-2564,15
471,PMC1518018989,10130332567,18.58621,73.86244,1013-033-2567,15
472,PMC1518018990,10130332568,18.58631,73.862352,1013-033-2568,15
473,PMC1518019075,10130332653,18.587006699999996,73.86235400000001,1013-033-2653,15
474,PMC1518019078,10130332656,18.587006699999996,73.86235400000001,1013-033-2656,15
475,PMC1518019184,10130332762,18.5856987,73.8624147,1013-033-2762,15
476,PMC1518019185,10130332763,18.586033899999997,73.86252940000001,1013-033-2763,15
477,PMC1518019186,10130332764,18.586033899999997,73.86252940000001,1013-033-2764,15
478,PMC1518019188,10130332766,18.585585199999997,73.86246259999999,1013-033-2766,15
479,PMC1518019189,10130332767,18.5857675,73.8625696,1013-033-2767,15
480,PMC1518019191,10130332769,18.58654,73.862397,1013-033-2769,15
481,PMC1518019193,10130332771,18.586676,73.862398,1013-033-2771,15
482,PMC1518019690,10130333268,18.5880789,73.8636861,1013-033-3268,15
483,PMC1518019761,10130333339,18.58977,73.863709,1013-033-3339,15
484,PMC1518018916,10130332494,18.590636,73.864073,1013-033-2494,15
485,PMC1518018917,10130332495,18.590703,73.86398,1013-033-2495,15
486,PMC1518018911,10130332489,18.590692,73.86394200000001,1013-033-2489,15
487,PMC1518018994,10130332572,18.586996799999998,73.8622401,1013-033-2572,15
488,PMC1518018996,10130332574,18.5869457,73.86238449999999,1013-033-2574,15
489,PMC1518019036,10130332614,18.585550899999998,73.8624714,1013-033-2614,15
490,PMC1518019074,10130332652,18.585769199999998,73.86254609999999,1013-033-2652,15
491,PMC1518019197,10130332775,18.586524899999997,73.862344,1013-033-2775,15
492,PMC1518019199,10130332777,18.586524899999997,73.862344,1013-033-2777,15
493,PMC1518019200,10130332778,18.586524899999997,73.862344,1013-033-2778,15
494,PMC1518019572,10130333150,18.5870639,73.86274940000001,1013-033-3150,15
495,PMC1518019577,10130333155,18.586949800000003,73.862347,1013-033-3155,15
496,PMC1518019578,10130333156,18.586949800000003,73.862347,1013-033-3156,15
497,PMC1518019645,10130333223,18.586775,73.861228,1013-033-3223,15
498,PMC1518008591,10130299606,18.587075,73.861011,1013-029-9606,15
499,PMC1518019022,10130332600,18.5882823,73.8632666,1013-033-2600,15
500,PMC2018008958,10130362215,18.588322,73.863318,1013-036-2215,20
501,PMC1518019040,10130332618,18.591524,73.86411290000001,1013-033-2618,15
502,PMC1518019069,10130332647,18.5915259,73.8641662,1013-033-2647,15
503,PMC2018008985,10130362242,18.5915259,73.8641662,1013-036-2242,20
504,PMC1518019681,10130333259,18.588015,73.863271,1013-033-3259,15
505,PMC1518019686,10130333264,18.588072,73.863411,1013-033-3264,15
506,PMC1518019750,10130333328,18.588024,73.863291,1013-033-3328,15
507,PMC1518019796,10130333374,18.588051999999998,73.863352,1013-033-3374,15
508,PMC1518019923,10130333501,18.588127,73.86236,1013-033-3501,15
509,PMC1518019924,10130333502,18.588137,73.86314899999999,1013-033-3502,15
510,PMC1518019927,10130333505,18.588127,73.86236,1013-033-3505,15
511,PMC1518019952,10130333530,18.590151000000002,73.864086,1013-033-3530,15
512,PMC1518019647,10130333225,18.586849,73.861023,1013-033-3225,15
513,PMC1518019650,10130333228,18.58682,73.86121700000001,1013-033-3228,15
